,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
0,Afador,Mixed Breed Dogs,20 to 29 inches,24.5,50 to 75 pounds,62.5,10 to 12 years,11.0,2,1,1,3,3,4,2,3,4,2,3,1,3,4,3.0,2,3,4,4,4,1,5,4,4.0,4.0,4,4,4,4,4,3
1,Affenhuahua,Mixed Breed Dogs,6 to 12 inches,9.0,4 to 12 pounds,8.0,13 to 18 years,15.5,3,4,4,4,1,2,3,3,4,3,2,2,3,2,1.0,4,4,5,1,3,3,3,4,2.0,4.0,2,3,4,3,3,3
2,Affenpinscher,Companion Dogs,9 to 11 inches tall at the shoulder,10.0,7 to 9 pounds,8.0,12 to 14 years,13.0,3,5,4,3,1,3,3,3,5,1,4,3,2,1,1.0,3,4,3,1,3,2,4,4,3.0,2.0,2,4,4,3,3,4
3,Afghan Hound,Hound Dogs,24 to 26 inches tall at the shoulder,25.0,50 to 60 pounds,55.0,10 to 12 years,11.0,4,5,3,5,2,5,5,4,5,5,4,2,2,4,1.0,1,3,1,4,3,1,4,3,5.0,2.0,5,4,5,2,4,4
4,Airedale Terrier,Terrier Dogs,21 to 23 inches tall at the shoulder,22.0,40 to 65 pounds,52.5,10 to 13 years,11.5,2,1,2,3,2,3,3,4,4,4,4,3,3,2,1.0,2,3,4,3,5,4,5,5,5.0,4.0,4,5,5,3,5,5
5,Akbash,Working Dogs,27 to 34 inches,30.5,75 to 140 pounds,107.5,10 to 12 years,11.0,3,1,2,3,4,4,2,4,5,4,3,2,4,4,2.0,3,4,4,4,3,3,4,3,1.0,3.0,1,2,2,2,2,3
6,Akita,Working Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",2.0,70 to 130 pounds,100.0,10 to 12 years,11.0,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5.0,1,4,4,4,4,2,3,3,4.0,5.0,4,4,4,3,4,5
7,Akita Chow,Mixed Breed Dogs,23 to 25 inches,24.0,88 to 145 pounds,116.5,10 to 12 years ,11.0,3,2,1,4,2,5,2,1,1,1,1,2,3,4,3.0,1,2,4,4,3,2,4,3,4.0,2.0,3,4,4,4,4,2
8,Akita Pit,Mixed Breed Dogs,16 to 23 inches,19.5,30 to 70 pounds,50.0,10 to 12 years,11.0,3,3,1,2,4,3,3,3,4,3,3,2,4,3,3.0,4,4,4,4,3,3,4,3,4.0,3.0,1,3,3,4,3,3
9,Akita Shepherd,Mixed Breed Dogs,24 to 28 inches,26.0,75 to 120 pounds,97.5,10 to 13 years,11.5,3,3,3,2,3,4,3,3,4,3,3,3,3,4,2.0,3,3,3,4,3,4,4,2,3.0,1.0,2,3,3,3,4,3
10,Alaskan Klee Kai,Companion Dogs,13 to 17 inches,15.0,10 to 15 pounds,12.5,12 to 16 years,14.0,3,3,2,4,2,5,2,3,4,3,2,2,3,4,2.0,4,4,2,2,4,4,4,2,5.0,3.0,4,4,4,2,4,4
11,Alaskan Malamute,Working Dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",6.0,75 to 100 pounds,87.5,12 to 15 years,13.5,2,1,1,4,1,5,2,4,4,3,2,5,3,5,1.0,1,4,3,4,4,4,4,3,4.0,5.0,5,5,5,5,5,5
12,American Bulldog,Working Dogs,20 to 28 inches,24.0,60 to 120 pounds,90.0,10 to 16 years,13.0,2,1,1,4,1,2,2,3,5,4,2,2,3,1,4.0,4,3,2,4,3,4,3,2,4.0,2.0,3,4,4,4,4,4
13,American English Coonhound,Hound Dogs,23 to 26 inches tall at the shoulder,24.5,,49.1124031007752,10 to 12 years,11.0,3,1,2,5,2,4,4,5,5,5,4,5,3,3,1.0,5,4,3,3,5,5,4,3,5.0,5.0,5,5,5,5,5,5
14,American Eskimo Dog,Companion Dogs,15 to 19 inches tall at the shoulder,17.0,Starts at 30 pounds,30.0,12 to 15 years,13.5,4,5,4,4,2,5,3,5,5,5,5,4,3,5,1.0,3,5,4,2,4,5,4,3,3.0,4.0,3,4,5,3,4,5
15,American Foxhound,Hound Dogs,21 to 25 inches tall at the shoulder,23.0,40 to 60 pounds,50.0,12 to 13 years,12.5,2,1,2,2,1,4,4,5,4,5,5,4,4,3,1.0,5,5,5,3,4,2,3,3,4.0,5.0,5,5,5,4,5,5
16,American Hairless Terrier,Terrier Dogs,12 to 16 inches,14.0,10 to 16 pounds,13.0,13 to 16 years,14.5,3,4,3,3,2,1,3,4,4,4,3,3,3,1,1.0,5,4,4,2,3,3,4,3,4.0,3.0,3,4,4,3,3,5
17,American Leopard Hound,Hound Dogs,21 to 27 Inches.,24.0,35 to 75 pounds. ,55.0,12 to 15 years. ,13.5,3,2,4,3,3,4,4,4,5,4,4,3,3,2,2.0,4,4,2,4,4,4,4,3,4.0,4.0,4,4,4,3,4,4
18,American Pit Bull Terrier,Terrier Dogs,17 to 19 inches tall at the shoulder,18.0,30 to 85 pounds,57.5,12 to 16 years,14.0,3,3,2,4,1,2,3,4,5,5,1,5,3,4,1.0,5,4,3,3,4,4,4,5,3.0,3.0,4,5,4,5,4,5
19,American Pugabull,Mixed Breed Dogs,12 to 20 inches,16.0,25 to 70 pounds ,47.5,12 to 14 years ,13.0,3,3,3,4,1,2,3,4,5,4,3,3,3,3,3.0,4,2,3,3,3,3,3,2,4.0,4.0,2,4,4,4,3,5
20,American Staffordshire Terrier,Terrier Dogs,16 to 19 inches,17.5,40 to 60 pounds,50.0,10 to 15 years,12.5,2,2,2,3,2,2,3,4,4,4,2,4,3,2,3.0,4,3,2,3,4,4,4,5,3.0,4.0,3,4,3,5,3,4
21,American Water Spaniel,Sporting Dogs,"1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder",2.0,25 to 45 pounds,35.0,12 to 15 years,13.5,3,2,2,5,1,2,4,4,5,5,2,3,3,3,1.0,3,3,3,3,4,4,3,5,2.0,3.0,5,4,5,2,5,5
22,Anatolian Shepherd Dog,Working Dogs,"2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder",2.5,80 to 150 pounds,115.0,11 to 13 years,12.0,3,1,2,4,3,5,3,2,3,2,2,1,3,2,3.0,4,3,3,5,3,4,4,2,2.0,2.0,4,3,3,3,3,3
23,Appenzeller Sennenhunde,Herding Dogs,19 to 22 inches tall at the shoulder,20.5,48 to 55 pounds,51.5,9 to 12 years,10.5,3,1,3,3,1,5,4,4,5,5,3,2,3,3,1.0,5,4,3,3,4,4,4,5,3.0,5.0,3,4,4,4,5,4
24,Auggie,Mixed Breed Dogs,10 to 13 inches,11.5,20 to 30 pounds,25.0,12 to 15 years,13.5,3,2,3,4,3,4,3,5,5,5,5,4,3,4,1.0,2,3,4,3,4,5,5,3,3.0,4.0,3,5,5,4,5,5
25,Aussiedoodle,Mixed Breed Dogs,10 to 15 inches,12.5,25 to 70 pounds,47.5,10 to 13 years,11.5,3,2,3,3,2,3,3,4,5,4,4,4,4,3,4.0,3,4,4,3,4,5,5,3,3.0,2.0,3,5,5,4,5,5
26,Aussiepom,Mixed Breed Dogs,11 to 17 inches,14.0,10 to 30 pounds,20.0,12 to 15 years,13.5,3,3,2,3,2,3,3,4,4,3,4,4,3,3,2.0,2,4,4,3,3,4,4,4,2.0,3.0,2,4,5,3,4,5
27,Australian Cattle Dog,Herding Dogs,17 to 20 inches tall at the shoulder,18.5,30 to 50 pounds,40.0,12 to 15 years,13.5,3,2,1,4,3,4,4,4,5,3,4,2,3,3,1.0,4,5,4,3,4,5,5,5,4.0,2.0,4,5,5,5,5,5
28,Australian Kelpie,Herding Dogs,15 to 20 inches,17.5,25 to 46 pounds,35.5,10 to 15 years,12.5,3,2,2,4,2,3,5,3,4,2,3,2,3,3,1.0,4,3,2,3,5,5,5,5,4.0,4.0,4,4,5,3,5,4
29,Australian Retriever,Mixed Breed Dogs,19 to 23 inches,21.0,25 to 60 pounds,42.5,12 to 15 years,13.5,3,1,4,3,2,4,4,4,4,4,3,3,3,3,2.0,3,4,4,4,3,4,4,2,3.0,2.0,4,4,5,3,5,4
30,Australian Shepherd,Herding Dogs,18 to 23 inches tall at the shoulder,20.5,40 to 65 pounds,52.5,12 to 15 years,13.5,3,1,2,5,2,4,4,4,5,4,5,3,2,3,1.0,1,2,4,3,5,5,5,4,4.0,4.0,5,5,5,4,5,5
31,Australian Shepherd Husky,Mixed Breed Dogs,18 to 25 inches,21.5,40 to 65 pounds,52.5,12 to 15 years,13.5,3,1,2,4,1,5,4,3,5,3,2,2,3,4,2.0,3,3,4,4,4,4,5,3,4.0,5.0,5,5,5,5,5,5
32,Australian Shepherd Lab Mix,Mixed Breed Dogs,22 to 25 inches ,23.5,40 to 80 pounds,60.0,12 to 15 years ,13.5,4,2,2,5,4,5,4,4,4,4,4,4,4,4,2.0,4,4,3,4,4,5,5,4,3.0,3.0,5,5,5,5,5,5
33,Australian Shepherd Pit Bull Mix,Mixed Breed Dogs,17 to 23 inches,20.0,30 to 85 pounds,57.5,10 to 16 years,13.0,3,2,3,3,2,3,3,4,4,4,3,3,4,4,2.0,3,4,5,4,3,4,4,3,4.0,2.0,3,4,4,3,4,4
34,Australian Stumpy Tail Cattle Dog,Herding Dogs,17 to 20 inches,18.5,35 to 51 pounds,43.0,13 to 15 years,14.0,3,1,2,3,2,4,4,3,3,3,2,2,3,4,2.0,3,4,4,3,3,3,4,3,3.0,2.0,4,4,5,4,5,3
35,Australian Terrier,Terrier Dogs,10 to 11 inches tall at the shoulder,10.5,14 to 16 pounds,15.0,Up to 15 years,15.0,3,5,3,2,2,3,4,3,4,3,2,3,3,1,1.0,5,5,3,1,4,3,4,1,5.0,5.0,4,5,5,5,4,5
36,Azawakh,Hound Dogs,23 to 27 inches tall at the shoulder,25.0,33 to 55 pounds,44.0,12 to 15 years,13.5,3,5,2,3,3,1,5,3,4,2,3,2,3,3,1.0,5,3,3,4,3,3,3,3,4.0,1.0,2,3,3,2,4,3
37,Barbet,Sporting Dogs,20 to 25 inches tall at the shoulder,22.5,37 to 62 pounds,49.5,13 to 15 years,14.0,3,3,2,3,1,4,4,4,5,4,4,3,2,2,1.0,1,4,3,3,3,4,4,2,3.0,3.0,3,4,5,3,3,4
38,Basenji,Hound Dogs,16 to 17 inches tall at the shoulder,16.5,22 to 24 pounds,23.0,10 to 12 years,11.0,4,5,4,3,4,1,4,5,5,5,4,5,2,1,1.0,5,2,2,2,4,1,4,5,5.0,1.0,5,3,5,1,5,2
39,Bassador,Mixed Breed Dogs,13 to 20 inches,16.5,45 to 70 pounds,57.5,10 to 12 years,11.0,3,2,2,3,3,4,4,3,3,3,3,3,4,5,4.0,3,3,3,4,3,2,3,2,4.0,3.0,3,3,3,2,4,3
40,Basset Fauve de Bretagne,Hound Dogs,12 to 15 inches. ,13.5,25 to 35 pounds. ,30.0,12 to 15 years. ,13.5,3,4,4,3,3,3,1,4,5,4,4,3,3,2,1.0,4,5,1,2,3,3,5,3,3.0,2.0,1,3,4,2,4,3
41,Basset Hound,Hound Dogs,Up to 14 inches tall at the shoulder,14.0,50 to 65 pounds,57.5,10 to 12 years,11.0,3,5,4,4,3,2,2,5,5,5,5,5,4,4,4.0,5,1,5,3,4,2,4,3,5.0,4.0,5,2,2,2,2,2
42,Basset Retriever,Mixed Breed Dogs,10 to 14 inches,12.0,40 to 70 pounds,55.0,10 to 12 years,11.0,3,3,3,2,2,4,4,4,4,4,3,4,3,2,2.0,4,4,4,3,4,4,5,3,5.0,2.0,4,4,4,2,4,4
43,Bavarian Mountain Scent Hound,Hound Dogs,17 to 20 inches.,18.5,44 to 55 pounds. ,49.5,10 to 14 years. ,12.0,2,2,3,2,2,2,3,4,5,4,3,2,3,1,2.0,3,4,2,3,3,3,4,2,4.0,2.0,2,4,4,2,4,4
44,Beabull,Mixed Breed Dogs,12 to 16 inches,14.0,30 to 60 pounds,45.0,10 to 13 years,11.5,3,4,3,4,4,2,2,4,5,5,4,3,4,4,3.0,5,3,4,3,4,3,3,4,4.0,4.0,4,4,3,4,3,5
45,Beagle,Hound Dogs,13 to 15 inches tall at the shoulder,14.0,18 to 30 pounds,24.0,10 to 15 years,12.5,3,4,3,4,1,2,4,5,5,5,5,5,3,3,1.0,4,1,5,2,4,1,4,3,5.0,5.0,5,5,4,5,4,5
46,Beaglier,Mixed Breed Dogs,12 to 16 inches ,14.0,10 to 20 pounds,15.0,10 to 15 years ,12.5,3,5,4,4,1,2,3,5,5,5,5,5,3,3,1.0,4,2,5,2,3,2,4,3,3.0,4.0,4,4,3,3,4,5
47,Bearded Collie,Herding Dogs,20 to 22 inches tall at the shoulder,21.0,45 to 55 pounds,50.0,12 to 14 years,13.0,3,3,4,4,2,4,3,5,5,4,5,4,3,4,1.0,2,3,4,3,4,5,4,3,3.0,3.0,5,4,4,4,4,5
48,Bedlington Terrier,Terrier Dogs,15 to 16 inches tall at the shoulder,15.5,17 to 23 pounds,20.0,14 to 16 years,15.0,4,4,4,3,3,4,3,5,5,4,4,5,3,5,1.0,1,4,3,3,4,3,5,4,5.0,3.0,4,4,4,2,4,5
49,Belgian Laekenois,Herding Dogs,22 to 26 inches,24.0,44 to 66 pounds,55.0,10 to 12 years,11.0,3,3,3,2,2,3,3,4,4,4,4,3,3,3,3.0,4,3,3,4,3,3,4,2,4.0,2.0,3,4,4,3,4,4
50,Belgian Malinois,Herding Dogs,22 to 26 inches tall at the shoulder,24.0,40 to 80 pounds,60.0,12 to 14 years,13.0,3,1,3,5,3,4,4,4,5,4,2,3,3,2,1.0,5,4,2,4,4,5,5,3,4.0,2.0,3,5,5,4,5,5
51,Belgian Sheepdog,Herding Dogs,22 to 26 inches tall at the shoulder,24.0,60 to 75 pounds,67.5,10 to 12 years,11.0,4,3,3,5,3,4,3,5,4,5,5,4,3,5,1.0,3,3,2,4,4,5,5,2,5.0,1.0,4,5,5,3,5,5
52,Belgian Tervuren,Herding Dogs,21 to 26 inches tall at the shoulder,23.5,40 to 70 pounds,55.0,10 to 12 years,11.0,3,3,3,5,1,4,3,3,4,3,3,3,3,4,1.0,3,3,2,4,4,5,5,2,2.0,5.0,4,4,5,3,4,5
53,Bergamasco Sheepdog,Herding Dogs,20 to 24 inches,22.0,55 to 85 pounds,70.0,13 to 15 years,14.0,3,3,4,2,3,4,3,4,4,5,4,4,3,2,1.0,4,5,2,3,3,3,5,2,2.0,3.0,3,3,4,2,3,4
54,Berger Picard,Herding Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",5.0,50 to 70 pounds,60.0,13 to 14 years,13.5,4,3,4,5,3,4,3,4,5,5,3,2,4,4,1.0,5,5,3,4,3,4,4,2,3.0,2.0,2,5,5,3,5,5
55,Bernedoodle,Mixed Breed Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",19.5,From 10 to 90 pounds,50.0,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,15.0,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2.0,3,4,3,3,4,4,5,4,3.0,3.0,3,4,4,3,3,5
56,Bernese Mountain Dog,Working Dogs,23 to 28 inches,25.5,70 to 115 pounds,92.5,6 to 10 years,8.0,2,1,2,4,1,5,1,5,5,5,3,5,4,5,4.0,3,1,4,5,4,4,4,5,5.0,4.0,3,4,4,3,3,4
57,Bichon Frise,Companion Dogs,9 to 11 inches tall at the shoulder,10.0,7 to 12 pounds,9.5,12 to 15 years,13.5,4,5,5,5,1,3,4,5,5,4,4,5,2,2,1.0,1,4,4,2,3,5,4,3,4.0,2.0,2,4,5,3,3,5
58,Biewer Terrier,Terrier Dogs,7 to 11 inches,9.0,4 to 8 pounds,6.0,12 to 15 years,13.5,3,5,3,3,3,2,3,4,5,4,3,3,2,1,1.0,4,4,3,1,3,3,4,3,1.0,3.0,1,4,5,3,3,4
59,Black and Tan Coonhound,Hound Dogs,23 to 27 inches tall at the shoulder,25.0,75 to 100 pounds,87.5,10 to 12 years,11.0,3,1,2,3,2,4,4,5,5,5,5,5,4,5,3.0,4,5,5,3,4,2,5,1,5.0,5.0,5,5,5,5,5,5
60,Black Mouth Cur,Working Dogs,16 to 25 inches,20.5,40 to 95 pounds,67.5,12 to 18 years,15.0,3,1,2,4,2,3,3,4,5,5,3,3,3,3,2.0,5,4,2,4,4,3,4,3,5.0,4.0,4,4,4,3,5,4
61,Black Russian Terrier,Working Dogs,26 to 28 inches at the shoulder,27.0,80 to 140 pounds,110.0,10 to 11 years,10.5,3,3,2,4,2,4,3,3,4,5,2,2,3,3,3.0,2,3,3,5,3,4,4,4,2.0,3.0,3,4,3,5,4,5
62,Bloodhound,Hound Dogs,23 to 27 inches ttall at the shoulder,25.0,80 to 110 pounds,95.0,11 to 15 years,13.0,3,1,2,4,2,3,3,5,5,5,5,5,3,4,5.0,1,3,3,4,4,3,4,5,3.0,4.0,5,4,5,4,5,3
63,Blue Lacy,Working Dogs,17 to 25 inches,21.0,25 to 50 pounds,37.5,12 to 16 years,14.0,3,1,1,4,2,4,5,3,4,3,2,2,3,3,2.0,5,4,2,3,5,5,5,4,5.0,5.0,4,5,5,5,5,4
64,Bluetick Coonhound,Hound Dogs,23 to 30 inches tall at the shoulder,26.5,45 to 100 pounds,72.5,10 to 12 years,11.0,3,2,2,5,2,3,3,4,5,5,3,3,3,2,2.0,5,4,3,3,4,2,4,3,4.0,4.0,5,5,5,4,5,5
65,Bocker,Mixed Breed Dogs,12 to 15 inches ,13.5,20 to 30 pounds ,25.0,12 to 15 years ,13.5,4,5,3,5,1,3,4,4,5,4,4,4,3,3,1.0,3,3,4,2,5,4,4,4,5.0,5.0,5,4,4,3,4,4
66,Boerboel,Working Dogs,22 to 28 inches,25.0,110 to 200 pounds,155.0,10 to 12 years,11.0,2,1,1,3,2,3,4,3,4,4,2,2,4,3,4.0,4,4,3,5,3,2,4,3,3.0,3.0,4,4,3,4,4,4
67,Boglen Terrier,Mixed Breed Dogs,12 to 17 inches ,14.5,10 to 40 pounds,25.0,10 to 15 years ,12.5,3,4,4,4,2,2,3,5,5,5,5,5,3,2,1.0,4,3,3,2,4,2,2,4,4.0,4.0,5,5,4,5,4,5
68,Bohemian Shepherd,Herding Dogs,19 to 22 inches,20.5,35 to 60 pounds,47.5,10 to 15 years,12.5,3,2,3,4,2,4,3,4,4,4,4,3,3,4,1.0,4,4,3,3,3,4,5,2,2.0,2.0,3,4,4,3,4,5
69,Bolognese,Companion Dogs,9 to 12 inches tall at the shoulder,10.5,8 to 14 pounds,11.0,12 to 14 years,13.0,3,5,3,5,2,2,3,5,5,5,5,5,2,1,1.0,1,5,3,1,4,5,4,4,5.0,4.0,1,3,3,3,4,3
70,Borador,Hybrid Dogs,19 to 24 inches,21.5,40 to 65 pounds,52.5,10 to 15 years,12.5,3,3,3,2,2,3,3,4,5,4,4,4,4,4,3.0,3,3,4,4,3,4,5,3,3.0,2.0,3,4,4,3,4,5
71,Border Collie,Herding Dogs,18 to 22 inches tall at the shoulder,20.0,30 to 45 pounds,37.5,12 to 15 years,13.5,3,2,2,5,1,4,4,4,5,4,3,5,3,3,1.0,3,2,3,3,4,5,5,3,3.0,2.0,3,5,5,3,5,5
72,Border Sheepdog,Mixed Breed Dogs,16 to 22 inches,19.0,25 to 45 pounds,35.0,12 to 15 years,13.5,3,2,3,2,2,4,2,4,5,4,3,3,3,3,1.0,3,4,2,3,4,4,5,4,3.0,4.0,2,4,5,3,5,4
73,Border Terrier,Terrier Dogs,10 to 11 inches tall at the shoulder,10.5,11 to 15 pounds,13.0,12 to 15 years,13.5,3,4,3,3,1,4,3,4,5,4,2,5,3,3,1.0,2,4,5,2,4,3,5,5,5.0,1.0,4,5,4,4,5,5
74,Bordoodle,Mixed Breed Dogs,12 to 22 inches,17.0,30 to 60 pounds,45.0,12 to 15 years,13.5,4,4,4,3,3,4,4,4,4,5,3,2,3,2,2.0,4,4,3,3,3,4,5,3,2.0,2.0,3,3,3,2,3,4
75,Borzoi,Hound Dogs,26 to 32 inches tall at the shoulder,29.0,55 to 105 pounds,80.0,10 to 12 years,11.0,4,5,3,5,1,4,3,4,4,3,4,4,4,5,1.0,4,4,2,5,4,3,4,3,5.0,2.0,4,2,2,2,2,3
76,BoShih,Mixed Breed Dogs,12 to 15 inches ,13.5,10 to 20 pounds,15.0,12 to 15 years ,13.5,3,5,4,3,1,2,2,3,4,2,3,4,3,2,1.0,5,3,3,2,2,2,3,1,1.0,2.0,2,3,3,2,3,5
77,Bossie,Mixed Breed Dogs,15 to 23 inches,19.0,25 to 40 pounds,32.5,12 to 15 years ,13.5,3,2,2,3,5,3,3,4,4,4,4,4,3,2,1.0,3,3,3,3,4,4,4,3,3.0,3.0,5,5,4,4,5,5
78,Boston Boxer,Mixed Breed Dogs,15 to 23 inches,19.0,22 to 55 pounds,38.5,12 to 15 years,13.5,3,4,3,3,2,3,3,4,4,4,4,2,4,3,3.0,4,4,4,3,3,3,4,3,3.0,3.0,2,4,4,3,4,5
79,Boston Terrier,Companion Dogs,12 to 15 inches tall at the shoulder,13.5,10 to 25 pounds,17.5,13 to 15 years,14.0,4,5,4,5,3,3,2,5,4,5,5,4,3,2,1.0,5,4,3,2,3,4,4,2,2.0,3.0,5,5,4,5,4,5
80,Boston Terrier Pekingese Mix,Mixed Breed Dogs,10 to 15 inches,12.5,10 to 25 pounds,17.5,10 to 15 years,12.5,3,4,3,3,2,2,2,4,4,4,3,3,3,2,2.0,4,4,4,1,3,2,4,3,2.0,4.0,2,3,3,3,3,4
81,Bouvier des Flandres,Herding Dogs,23 to 26 inches tall at the shoulder,24.5,70 to 100 pounds,85.0,10 to 12 years,11.0,3,3,2,4,2,4,2,4,5,5,2,2,3,1,1.0,2,3,4,4,3,5,4,2,2.0,4.0,2,4,4,5,4,4
82,Boxador,Mixed Breed Dogs,23 to 25 inches,24.0,50 to 110 pounds,80.0,12 to 15 years,13.5,2,2,2,3,1,2,2,4,5,4,4,4,4,4,2.0,5,2,4,4,4,5,5,3,2.0,3.0,3,5,5,5,5,5
83,Boxer,Working Dogs,21 to 25 inches at the shoulder,23.0,60 to 70 pounds,65.0,10 to 12 years,11.0,3,4,3,4,1,2,1,4,5,4,3,4,3,4,2.0,5,2,4,3,3,4,4,2,3.0,3.0,3,5,5,5,5,5
84,Boxerdoodle,Mixed Breed Dogs,10 to 25 inches,17.5,12 to 70 pounds,41.0,10 to 12 years,11.0,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2.0,3,3,4,3,3,4,4,2,3.0,2.0,4,4,4,4,4,5
85,Boxmatian,Mixed Breed Dogs,19 to 25 inches,22.0,50 to 90 pounds,70.0,10 to 13 years,11.5,2,1,2,3,2,2,4,3,4,3,2,1,4,3,2.0,3,5,4,5,4,3,4,4,3.0,3.0,4,5,5,4,5,4
86,Boxweiler,Mixed Breed Dogs,21 to 27 inches,24.0,70 to 100 pounds,85.0,8 to 13 years,10.5,3,2,3,4,2,3,2,4,5,4,4,2,3,3,2.0,3,3,4,4,3,4,4,2,2.0,3.0,1,4,4,3,4,4
87,Boykin Spaniel,Sporting Dogs,14 to 18 inches tall at the shoulder,16.0,25 to 40 pounds,32.5,10 to 12 years,11.0,3,1,3,4,3,3,4,4,5,5,4,3,3,4,1.0,1,2,4,3,4,4,4,4,2.0,3.0,4,5,5,5,5,4
88,Bracco Italiano,Sporting Dogs,22 to 26 inches,24.0,55 to 90 pounds,72.5,10 to 14 years,12.0,3,1,2,4,3,3,3,4,5,4,5,3,3,3,2.0,5,2,3,4,3,3,4,2,5.0,2.0,3,4,4,4,5,4
89,Braque du Bourbonnais,Working Dogs,18 to 23 inches.,20.5,35 to 55 pounds.,45.0,12 to 15 years. ,13.5,2,1,3,3,2,2,3,4,5,4,4,4,3,2,1.0,4,4,1,3,3,4,4,3,4.0,3.0,2,4,5,2,5,3
90,Briard,Herding Dogs,22 to 27 inches tall at the shoulder,24.5,70 to 100 pounds,85.0,10 to 12 years,11.0,3,3,3,4,3,4,3,4,4,5,5,2,2,1,1.0,1,3,3,4,4,4,4,2,3.0,4.0,5,4,4,4,4,4
91,Brittany,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",3.0,30 to 40 pounds,35.0,10 to 13 years,11.5,3,1,3,5,1,4,3,5,5,5,5,4,4,3,5.0,3,4,3,3,4,3,5,3,5.0,3.0,4,5,5,3,5,5
92,Broholmer,Companion Dogs,22 to 30 inches.,26.0,90 to 150 pounds. ,120.0,8 to 12 years. ,10.0,3,2,4,3,3,3,3,4,5,4,3,3,4,3,2.0,4,4,3,5,3,4,4,3,2.0,3.0,2,3,3,3,3,3
93,Brussels Griffon,Companion Dogs,7 to 8 inches tall at the shoulder,7.5,7 to 12 pounds,9.5,12 to 15 years,13.5,3,5,2,5,1,1,2,4,5,4,4,3,3,3,3.0,3,3,3,1,3,3,4,3,1.0,4.0,5,4,5,3,4,5
