,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
94,Bugg,Mixed Breed Dogs,14 to 18 inches,16.0,10 to 25 pounds,17.5,10 to 15 years,12.5,3,5,4,3,2,2,3,3,4,3,2,3,3,2,2.0,4,4,4,2,3,3,4,4,3.0,4.0,2,3,4,3,2,4
95,Bull Arab,Hybrid Dogs,24 to 27 inches,25.5,60 to 95 pounds,77.5,12 to 15 years,13.5,3,2,1,2,3,4,4,2,3,3,1,2,3,2,2.0,4,4,3,4,3,2,4,3,5.0,2.0,4,4,4,5,4,2
96,Bull-Pei,Mixed Breed Dogs,16 to 18 inches,17.0,35 to 65 pounds ,50.0,9 to 11 years ,10.0,2,4,2,3,3,1,1,2,3,2,2,2,4,4,3.0,4,3,4,3,2,3,2,4,2.0,2.0,1,2,2,2,2,2
97,Bull Terrier,Terrier Dogs,21 to 22 inches tall at the shoulder,21.5,35 to 75 pounds,55.0,10 to 15 years,12.5,3,4,3,5,2,1,4,5,5,5,4,5,3,3,1.0,5,4,5,2,4,5,4,4,4.0,1.0,5,5,4,5,5,5
98,Bullador,Mixed Breed Dogs,17 to 20 inches ,18.5,50 to 90 pounds,70.0,10 to 12 years ,11.0,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4.0,4,3,5,4,4,4,4,2,4.0,4.0,3,4,4,4,4,4
99,Bullboxer Pit,Mixed Breed Dogs,16 to 20 inches,18.0,50 to 80 pounds,65.0,10 to 14 years,12.0,2,1,2,3,2,2,2,3,4,4,2,2,4,4,4.0,4,4,4,3,4,2,4,4,5.0,4.0,3,5,5,5,5,4
100,Bulldog,Companion Dogs,12 to 15 inches tall at the shoulder,13.5,40 to 50 pounds,45.0,8 to 12 years,10.0,3,5,4,4,3,1,1,4,5,4,2,5,4,3,5.0,5,4,5,2,2,3,2,2,2.0,4.0,1,3,2,3,3,4
101,Bullmastiff,Working Dogs,24 to 27 inches at the shoulder,25.5,100 to 130 pounds,115.0,8 to 10 years,9.0,3,3,2,4,2,4,2,4,5,5,4,3,4,1,5.0,5,2,5,5,3,3,3,3,3.0,4.0,3,4,2,4,3,5
102,Bullmatian,Mixed Breed Dogs,11 to 24 inches,17.5,41 to 65 pounds,53.0,8 to 12 years,10.0,2,2,1,3,3,2,2,4,4,5,4,3,3,2,3.0,4,4,4,3,3,1,4,3,3.0,2.0,3,4,5,4,4,4
103,Cairn Terrier,Terrier Dogs,9 to 10 inches tall at the shoulder,9.5,13 to 14 pounds,13.5,12 to 15 years,13.5,4,5,4,3,1,4,4,5,5,5,4,4,3,3,1.0,5,4,3,1,4,2,5,3,4.0,4.0,3,5,5,4,4,5
104,Canaan Dog,Herding Dogs,19 to 24 inches tall at the shoulder,21.5,35 to 55 pounds,45.0,12 to 15 years,13.5,4,4,2,4,3,3,5,3,4,2,3,2,3,4,1.0,5,5,2,3,3,5,4,3,3.0,3.0,2,4,4,3,3,4
105,Cane Corso,Working Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",6.0,90 to 120 pounds,105.0,10 to 12 years,11.0,2,1,1,3,1,3,4,3,4,2,3,2,4,3,4.0,5,3,4,4,4,4,5,2,5.0,3.0,2,4,4,3,5,2
106,Cardigan Welsh Corgi,Herding Dogs,10 inches to 1 foot tall at the shoulder,5.5,25 to 38 pounds,31.5,12 to 15 years,13.5,4,4,4,4,3,4,3,4,5,4,3,3,3,4,1.0,3,4,4,2,4,4,5,2,4.0,4.0,3,3,3,3,3,4
107,Carolina Dog,Hound Dogs,18 to 20 inches at the shoulder,19.0,33 to 55 pounds,44.0,12 to 15 years,13.5,3,2,2,2,1,4,4,3,2,3,5,2,4,4,2.0,4,5,4,3,3,2,4,2,5.0,1.0,3,4,4,5,4,3
108,Catahoula Bulldog,Mixed Breed Dogs,24 to 26 inches,25.0,75 to 100 pounds,87.5,10 to 14 years,12.0,2,1,1,2,3,1,5,3,4,3,2,1,3,1,1.0,5,4,3,4,3,2,3,4,5.0,3.0,3,5,5,5,5,4
109,Catahoula Leopard Dog,Herding Dogs,20 to 26 inches tall at the shoulder,23.0,50 to 90 pounds,70.0,10 to 14 years,12.0,2,1,1,2,2,3,3,3,5,3,1,1,3,3,1.0,5,3,3,4,3,2,3,3,1.0,3.0,3,4,4,3,5,2
110,Caucasian Shepherd Dog,Working Dogs,24 to 34 inches,29.0,80 to 220 pounds,150.0,10 to 12 years,11.0,3,2,1,2,3,5,2,3,4,2,2,2,4,4,4.0,2,3,4,5,3,2,4,4,3.0,3.0,2,3,2,4,2,3
111,Cav-a-Jack,Mixed Breed Dogs,10 to 17 inches,13.5,13 to 18 pounds,15.5,12 to 17 years,14.5,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2.0,4,3,4,2,4,4,4,3,4.0,3.0,3,4,4,3,4,5
112,Cavachon,Mixed Breed Dogs,12 to 13 inches ,12.5,15 to 35 pounds ,25.0,10 to 15 years ,12.5,4,5,5,5,1,3,3,5,5,5,5,5,3,2,1.0,2,4,4,2,3,4,4,3,4.0,3.0,2,4,4,3,4,5
113,Cavador,Mixed Breed Dogs,18 to 24 inches,21.0,22 to 55 pounds,38.5,10 to 14 years,12.0,3,3,5,4,2,3,3,4,5,5,4,3,3,3,2.0,4,4,4,3,3,4,4,2,3.0,3.0,3,4,4,3,4,5
114,Cavalier King Charles Spaniel,Companion Dogs,12 to 13 inches at the shoulder,12.5,13 to 18 pounds,15.5,9 to 15 years,12.0,4,5,5,5,1,3,2,5,5,5,5,5,3,3,1.0,4,4,4,2,3,4,4,3,3.0,2.0,2,4,3,2,4,5
115,Cavapoo,Mixed Breed Dogs,9 to 14 inches,11.5,9 to 25 pounds,17.0,12 to 15 years,13.5,3,3,3,3,2,4,3,5,5,5,4,4,3,2,1.0,3,3,4,2,3,4,4,3,3.0,2.0,3,3,3,2,3,5
116,Central Asian Shepherd Dog,Working Dogs,24 to 28 inches,26.0,88 to 110 pounds ,99.0,12 to 15 years ,13.5,3,1,1,4,2,5,2,3,3,3,4,2,4,4,5.0,5,5,3,4,3,2,5,2,1.0,3.0,2,3,3,3,4,2
117,Cesky Terrier,Terrier Dogs,10 to 13 inches tall at the shoulder,11.5,13 to 30 pounds,21.5,10 to 15 years,12.5,4,5,4,4,3,3,3,3,5,3,2,3,3,1,1.0,4,5,4,2,3,4,3,3,2.0,3.0,3,3,2,3,3,5
118,Chabrador,Mixed Breed Dogs,18 to 24 inches,21.0,45 to 80 pounds,62.5,9 to 13 years,11.0,3,4,2,4,3,4,1,3,4,4,2,2,4,4,3.0,4,4,3,3,3,2,4,4,4.0,3.0,3,4,3,4,3,4
119,Cheagle,Mixed Breed Dogs,9 to 14 inches ,11.5,9 to 20 pounds ,14.5,10 to 14 years ,12.0,3,4,4,4,1,1,2,3,5,3,3,2,3,3,1.0,5,3,4,2,3,2,4,3,4.0,4.0,3,4,4,4,3,4
120,Chesapeake Bay Retriever,Sporting Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",5.0,55 to 80 pounds,67.5,10 to 12 years,11.0,3,1,1,3,2,4,4,3,5,3,1,1,4,5,3.0,5,4,4,3,3,3,4,3,3.0,3.0,4,5,5,5,5,4
121,Chi Chi,Mixed Breed Dogs,5 to 12 inches,8.5,4 to 11 pounds,7.5,11 to 20 years,15.5,3,4,2,4,2,2,3,3,3,3,2,3,3,2,1.0,4,4,4,2,3,3,4,3,3.0,4.0,2,4,4,4,3,4
122,Chi-Poo,Mixed Breed Dogs,5 to 15 inches ,10.0,5 to 20 pounds ,12.5,12 to 15 years ,13.5,4,5,5,5,4,2,3,4,5,5,3,3,2,2,1.0,3,2,3,2,4,5,5,3,3.0,3.0,3,3,3,2,2,4
123,Chigi,Mixed Breed Dogs,7 to 12 inches,9.5,10 to 20 pounds,15.0,12 to 14 years ,13.0,3,3,4,5,2,3,2,4,5,5,2,2,3,4,1.0,5,3,3,1,3,4,4,2,3.0,2.0,3,4,4,4,4,4
124,Chihuahua,Companion Dogs,6 inches to 9 inches tall at the shoulder,7.5,3 to 6 pounds,4.5,10 to 18 years,14.0,3,5,4,5,1,1,2,4,5,5,2,2,2,2,1.0,5,2,3,1,3,4,4,3,3.0,3.0,2,3,3,2,1,4
125,Chilier,Mixed Breed Dogs,8 to 12 inches,10.0,6 to 12 pounds,9.0,12 to 16 years,14.0,3,4,2,4,2,2,2,4,4,4,4,3,3,2,3.0,4,4,3,2,3,2,4,3,3.0,3.0,2,4,4,4,3,4
126,Chinese Crested,Companion Dogs,11 to 13 inches tall at the shoulder,12.0,Up to 12 pounds,12.0,10 to 14 years,12.0,3,5,3,5,1,1,3,4,4,5,4,4,2,2,1.0,2,5,2,2,3,4,3,4,3.0,3.0,1,2,2,1,2,3
127,Chinese Shar-Pei,Working Dogs,18 to 20 inches tall at the shoulder,19.0,40 to 55 pounds,47.5,8 to 12 years,10.0,3,4,2,2,4,2,1,2,2,2,1,2,3,2,2.0,5,1,4,3,3,3,2,5,2.0,5.0,2,2,2,1,3,1
128,Chinook,Working Dogs,21 to 27 inches tall at the shoulder,24.0,55 to 70 pounds,62.5,12 to 15 years,13.5,3,4,1,5,1,5,4,5,5,5,5,4,3,5,1.0,2,4,3,4,3,4,5,3,2.0,2.0,2,3,3,3,3,4
129,Chion,Mixed Breed Dogs,5 to 11 inches,8.0,4 to 11 pounds,7.5,10 to 15 years,12.5,3,4,3,3,2,2,3,3,5,3,3,2,3,2,2.0,3,4,4,2,3,3,3,4,3.0,4.0,1,3,4,3,2,4
130,Chipin,Mixed Breed Dogs,8 to 12 inches ,10.0,5 to 15 pounds ,10.0,10 to 14 years ,12.0,3,5,4,5,1,1,2,3,5,4,2,2,3,2,1.0,5,3,4,1,3,4,3,2,3.0,2.0,3,4,4,3,2,5
131,Chiweenie,Mixed Breed Dogs,6 to 10 inches,8.0,5 to 12 pounds,8.5,12 to 16 years,14.0,3,5,3,4,2,1,4,3,4,2,3,2,3,1,1.0,5,3,4,1,3,2,4,2,3.0,5.0,2,4,4,2,4,5
132,Chorkie,Mixed Breed Dogs,6 to 9 inches ,7.5,8 to 15 pounds ,11.5,12 to 15 years ,13.5,3,5,5,5,1,1,2,3,4,3,3,2,2,2,1.0,3,3,2,1,3,3,3,2,2.0,4.0,2,4,4,3,3,5
133,Chow Chow,Working Dogs,17 to 20 inches tall at the shoulder,18.5,40 to 70 pounds,55.0,12 to 15 years,13.5,3,3,2,2,5,5,2,1,2,1,1,1,3,1,3.0,1,2,4,4,2,2,1,5,2.0,1.0,2,2,2,2,2,1
134,Chow Shepherd,Mixed Breed Dogs,22 to 26 inches,24.0,45 to 90 pounds ,67.5,12 to 15 years ,13.5,3,3,2,4,2,5,4,3,3,3,2,2,3,5,2.0,1,3,2,4,3,3,3,3,3.0,2.0,3,5,5,4,5,4
135,Chug,Mixed Breed Dogs,10 to 14 inches,12.0,10 to 20 pounds,15.0,10 to 13,11.5,3,5,3,3,3,2,3,4,5,4,3,3,3,4,2.0,4,4,4,1,3,3,3,3,2.0,2.0,2,4,4,3,3,4
136,Chusky,Mixed Breed Dogs,18 to 23 inches,20.5,40 to 65 pounds,52.5,10 to 13 years,11.5,3,2,2,3,3,5,2,4,4,4,3,3,3,5,2.0,2,3,3,3,3,3,4,3,3.0,4.0,2,4,4,3,4,4
137,Cirneco dell’Etna,Companion Dogs,17 to 20 inches,18.5,17 to 26 pounds,21.5,12 to 14 years,13.0,3,4,3,3,3,3,3,4,5,5,4,3,3,2,1.0,4,5,2,3,3,3,3,2,4.0,3.0,1,3,4,2,3,4
138,Clumber Spaniel,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",3.0,55 to 85 pounds,70.0,12 to 12 years,12.0,4,5,5,4,2,5,2,4,5,3,4,3,4,5,5.0,1,2,5,3,4,4,3,5,5.0,1.0,4,3,3,1,2,5
139,Cockalier,Mixed Breed Dogs,12 to 15 inches,13.5,10 to 28 pounds,19.0,12 to 15 years,13.5,3,4,4,4,2,2,2,4,5,5,4,3,3,2,1.0,4,4,3,2,3,4,4,2,3.0,2.0,2,4,4,2,4,5
140,Cockapoo,Hybrid Dogs,From under 10 to over 15 inches tall at the shoulder,12.5,From under 6 to over 19 pounds,12.5,12 to 15 years,13.5,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1.0,3,2,3,2,3,4,4,2,3.0,2.0,3,4,3,3,3,5
141,Cocker Spaniel,Sporting Dogs,"1 foot, 2 inches to 1 foot, 3 inches tall at the shoulder",1.5,24 to 28 pounds,26.0,12 to 15 years,13.5,4,5,3,5,1,4,3,4,5,3,4,3,3,3,1.0,1,4,4,2,4,5,4,4,5.0,3.0,4,3,4,2,3,4
142,Collie,Herding Dogs,22 to 26 inches all at the shoulder,24.0,50 to 70 pounds,60.0,10 to 14 years,12.0,4,3,4,5,2,4,3,5,5,5,4,4,3,5,1.0,2,3,3,3,3,4,4,3,4.0,4.0,1,3,3,2,3,4
143,Corgi Inu,Mixed Breed Dogs,9 to 15 inches,12.0,17 to 27 pounds,22.0,12 to 15 years,13.5,3,4,3,3,3,4,2,3,3,3,3,2,3,5,2.0,2,3,3,2,3,4,4,3,3.0,3.0,2,4,4,3,4,4
144,Corgidor,Mixed Breed Dogs,12 to 23 inches ,17.5,40 to 55 pounds ,47.5,10 to 15 years ,12.5,3,3,2,4,3,3,3,4,5,4,3,4,4,5,2.0,4,4,4,3,3,4,5,3,3.0,2.0,3,4,5,3,4,5
145,Corman Shepherd,Mixed Breed Dogs,12 to 15 inches,13.5,20 to 70 pounds,45.0,10 to 15 years,12.5,3,2,2,3,3,4,3,4,4,4,4,3,3,5,2.0,3,3,4,3,3,4,5,3,3.0,3.0,2,4,4,3,4,4
146,Coton de Tulear,Companion Dogs,8 to 12 inches tall at the shoulder,10.0,8 to 13 pounds,10.5,Starts at 14 years,14.0,4,5,4,5,1,3,3,5,5,5,5,5,2,1,1.0,2,5,3,1,3,3,4,3,1.0,2.0,3,3,3,2,3,5
147,Croatian Sheepdog,Herding Dogs,16 to 21 inches,18.5,29 to 45 pounds,37.0,12 to 14 years,13.0,3,3,2,3,3,4,2,3,4,3,2,2,3,5,3.0,2,4,3,3,4,3,4,4,3.0,4.0,3,4,4,4,4,4
148,Curly-Coated Retriever,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",6.0,65 to 100 pounds,82.5,9 to 12 years,10.5,3,1,3,3,3,4,4,4,5,5,4,3,3,3,2.0,3,2,3,3,4,4,5,5,5.0,3.0,4,4,5,3,4,5
149,Dachsador,Mixed Breed Dogs,15 to 25 inches,20.0,30 to 40 pounds,35.0,12 to 14 years,13.0,3,4,2,3,2,3,3,4,4,4,3,4,3,2,1.0,4,4,4,2,3,3,4,2,4.0,2.0,4,4,4,3,4,4
150,Dachshund,Hound Dogs,8 inches to 9 inches tall at the shoulder,8.5,16 to 32 pounds,24.0,12 to 15 years,13.5,3,5,4,4,3,1,3,3,4,5,3,1,3,3,1.0,3,2,5,1,4,2,4,4,5.0,5.0,5,3,3,3,3,4
151,Dalmatian,Companion Dogs,19 to 24 inches tall at the shoulder,21.5,48 to 55 pounds,51.5,13 to 16 years,14.5,3,2,3,4,3,3,4,4,5,4,4,3,4,5,1.0,5,4,4,3,3,4,4,2,2.0,2.0,4,5,5,4,5,4
152,Dandie Dinmont Terrier,Terrier Dogs,8 to 11 inches tall at the shoulder,9.5,18 to 24 pounds,21.0,12 to 15 years,13.5,3,4,4,3,2,3,3,4,5,4,3,3,2,3,1.0,2,3,4,1,3,2,3,3,4.0,2.0,3,3,3,3,2,4
153,Daniff,Mixed Breed Dogs,27 to 33 inches,30.0,115 to 190 pounds,152.5,8 to 12 years,10.0,3,2,2,3,1,4,3,4,5,4,4,3,3,2,4.0,1,3,3,5,3,4,4,2,2.0,1.0,2,4,3,4,4,4
154,Danish-Swedish Farmdog,Working Dogs,12 to 15 inches,13.5,15 to 20 pounds,17.5,11 to 13 years,12.0,3,3,2,3,4,4,4,5,5,5,5,3,3,5,1.0,4,5,3,2,4,5,4,2,5.0,4.0,1,4,4,3,5,4
155,Deutscher Wachtelhund,Sporting Dogs,18 to 21 inches,19.5,40 to 55 pounds,47.5,12 to 14 years,13.0,3,3,3,2,2,4,3,4,5,4,4,3,3,3,2.0,3,5,2,4,3,4,4,3,4.0,3.0,2,4,4,3,4,4
156,Doberdor,Mixed Breed Dogs,24 to 28 inches,26.0,60 to 100 pounds,80.0,10 to 14 years,12.0,2,1,1,3,2,2,4,3,3,3,3,1,3,1,2.0,4,4,4,5,3,1,4,3,4.0,4.0,4,5,5,4,5,4
157,Doberman Pinscher,Working Dogs,24 to 28 inches tall at the shoulder,26.0,60 to 80 pounds,70.0,10 to 13 years,11.5,3,3,3,5,2,1,4,3,5,3,1,3,4,4,4.0,5,1,3,4,3,5,5,2,1.0,1.0,2,4,3,3,3,5
158,Docker,Mixed Breed Dogs,9 to 15 inches ,12.0,20 to 30 Pounds ,25.0,12 to 14 Years,13.0,3,3,2,4,2,3,3,3,5,3,3,2,3,3,2.0,3,3,3,2,4,3,4,5,5.0,4.0,5,3,3,3,3,4
159,Dogo Argentino,Sporting Dogs,23 to 27 inches,25.0,80 to 100 pounds,90.0,9 to 15 years,12.0,2,1,1,3,2,2,4,3,4,2,2,2,3,1,3.0,4,3,2,4,3,2,3,2,5.0,2.0,4,4,4,4,4,3
160,Dogue de Bordeaux,Working Dogs,23 to 27 inches tall at the shoulder,25.0,Starts at 100 pounds,100.0,8 to 12 years,10.0,3,5,1,4,2,3,2,3,5,5,1,1,4,3,5.0,5,2,4,4,3,2,3,4,4.0,2.0,1,3,2,2,5,3
161,Dorgi,Mixed Breed Dogs,9 to12 inches,10.5,15 to 28 pounds,21.5,12 to 15 years,13.5,3,4,4,3,1,4,3,4,4,4,4,3,3,2,2.0,4,4,4,2,3,3,4,4,3.0,3.0,3,4,4,4,4,5
162,Dorkie,Mixed Breed Dogs,5 to 10 inches,7.5,5 to 12 pounds,8.5,13 to 16 years,14.5,3,5,4,4,2,2,2,4,4,4,4,4,2,3,1.0,2,2,2,1,3,3,4,2,3.0,2.0,2,2,2,2,2,3
163,Doxiepoo,Mixed Breed Dogs,8 to 23 inches,15.5,5 to 30 pounds,17.5,10 to 15 years,12.5,3,5,3,4,2,3,3,3,5,2,1,3,2,3,3.0,3,2,4,2,4,3,5,3,4.0,5.0,4,4,4,4,4,5
164,Doxle,Mixed Breed Dogs,5 to 15 inches,10.0,11 to 30 pounds,20.5,12 to 14 years,13.0,3,2,4,4,1,2,4,5,5,4,5,4,3,5,1.0,4,4,4,2,4,3,4,3,5.0,5.0,5,5,5,4,5,5
165,Drentsche Patrijshond,Working Dogs,21 to 25 inches,23.0,40 to 60 pounds,50.0,11 to 14 years old,12.5,3,3,2,4,3,4,3,4,5,4,4,3,3,4,3.0,3,4,2,3,3,2,4,3,4.0,2.0,1,4,5,3,4,4
166,Drever,Hound Dogs,12 to 16 inches,14.0,35 to 40 pounds,37.5,12 to 15 years,13.5,3,4,3,2,2,2,3,4,5,5,4,3,3,3,2.0,3,5,3,3,3,3,4,4,3.0,4.0,2,4,5,3,4,4
167,Dutch Shepherd,Herding Dogs,21 to 25 inches,23.0,50 to 70 pounds,60.0,12 to 15 years,13.5,3,3,3,3,2,4,4,4,4,4,4,2,3,4,2.0,3,4,2,3,3,5,4,2,3.0,2.0,2,4,4,3,4,4
168,English Cocker Spaniel,Sporting Dogs,"1 foot, 3 inches to 1 foot, 5 inches tall at the shoulder",2.0,26 to 34 pounds,30.0,12 to 14 years,13.0,4,5,4,5,1,4,3,5,5,5,5,5,3,3,1.0,3,4,5,2,4,4,5,3,5.0,4.0,4,4,5,3,4,5
169,English Foxhound,Hound Dogs,25 to 27 inches tall at the shoulder,26.0,55 to 75 pounds,65.0,10 to 13 years,11.5,3,1,2,3,4,3,3,4,4,4,5,3,3,3,1.0,5,4,2,3,4,3,3,4,5.0,4.0,5,5,5,4,5,5
170,English Setter,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",6.0,45 to 80 pounds,62.5,11 to 15 years,13.0,3,1,3,4,1,4,3,5,5,5,5,5,3,3,2.0,3,3,5,3,4,3,5,4,5.0,4.0,5,4,4,2,5,5
171,English Springer Spaniel,Sporting Dogs,"1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder",3.5,45 to 55 pounds,50.0,9 to 15 years,12.0,3,1,3,4,1,3,4,5,5,5,5,4,3,3,1.0,2,3,3,3,4,5,5,3,5.0,3.0,4,5,5,3,5,5
172,English Toy Spaniel,Companion Dogs,10 to 11 inches tall at the shoulder,10.5,8 to 14 pounds,11.0,10 to 12 years,11.0,3,4,4,4,1,2,2,4,5,1,4,4,3,5,2.0,4,2,3,2,3,3,3,4,4.0,3.0,2,3,3,3,2,4
173,Entlebucher Mountain Dog,Herding Dogs,16 to 20 inches tall at the shoulder,18.0,45 to 65 pounds,55.0,10 to 13 years,11.5,3,1,2,4,3,4,2,4,5,5,3,2,3,3,1.0,5,3,3,3,4,3,4,4,4.0,5.0,3,5,5,4,5,5
174,Estrela Mountain Dog,Herding Dogs,24 to 30 inches,27.0,75 to 130 pounds,102.5,11 to 15 years,13.0,3,1,3,2,3,4,3,4,5,5,3,2,3,4,3.0,2,4,3,4,3,4,5,2,1.0,3.0,1,3,3,3,3,3
175,Eurasier,Companion Dogs,20 to 24 Inches,22.0,40 to 71 lbs,55.5,12 to 14 years,13.0,3,4,3,2,1,4,3,4,3,5,4,2,3,4,3.0,3,4,2,4,2,4,4,2,1.0,2.0,1,3,3,2,3,3
176,Field Spaniel,Sporting Dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",2.5,37 to 45 pounds,41.0,10 to 12 years,11.0,3,1,3,4,1,3,4,5,5,5,4,4,3,3,1.0,4,3,4,2,4,5,5,3,4.0,2.0,5,5,5,3,5,5
177,Fila Brasileiro,Working Dogs,24 to 30 inches,27.0,90 to 180 pounds,135.0,9 to 12 years,10.5,2,1,1,3,3,2,3,2,3,3,2,1,4,2,3.0,4,3,4,5,3,2,4,3,5.0,3.0,3,4,4,4,4,2
178,Finnish Lapphund,Herding Dogs,17 to 20 inches tall at the shoulder,18.5,33 to 53 pounds,43.0,12 to 15 years,13.5,4,4,4,4,2,5,2,5,5,5,5,4,3,3,1.0,4,4,4,3,4,5,5,4,4.0,3.0,4,5,5,5,4,5
179,Finnish Spitz,Sporting Dogs,15 to 20 inches tall at the shoulder,17.5,20 to 35 pounds,27.5,12 to 15 years,13.5,3,3,3,3,1,5,3,5,5,5,5,3,3,4,1.0,2,4,3,3,4,3,4,3,3.0,5.0,4,5,5,4,5,5
180,Flat-Coated Retriever,Sporting Dogs,"1 foot, 10 inches to 2 feet tall at the shoulder",5.5,55 to 70 pounds,62.5,10 to 12 years,11.0,3,1,2,5,1,4,4,5,5,5,5,5,3,3,2.0,4,4,4,3,4,4,5,3,3.0,4.0,4,5,5,4,5,5
181,Fox Terrier,Terrier Dogs,Up to 15 inches tall at the shoulder,15.0,15 to 19 pounds,17.0,10 to 15 years,12.5,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1.0,2,4,2,2,4,5,5,3,5.0,3.0,3,5,5,5,5,5
182,French Bulldog,Companion Dogs,11 to 12 inches tall at the shoulder,11.5,16 to 28 pounds,22.0,11 to 14 years,12.5,3,5,5,3,1,2,1,4,5,4,4,4,3,3,1.0,5,2,4,2,3,4,3,3,2.0,3.0,2,4,3,4,2,5
183,French Bullhuahua,Mixed Breed Dogs,6 to 12 inches,9.0,10 to 30 pounds,20.0,10 to 15 years,12.5,3,4,3,3,2,2,4,3,4,3,2,3,3,3,2.0,4,4,5,1,3,3,3,4,3.0,4.0,2,3,3,3,3,4
184,French Spaniel,Sporting Dogs,21 to 24 inches.,22.5,45 to 60 pounds.,52.5,10 to 12 years.,11.0,3,2,4,4,3,4,2,4,5,4,4,4,3,3,2.0,3,4,2,3,3,4,4,2,3.0,2.0,2,4,5,3,4,4
185,Frenchton,Mixed Breed Dogs,11 to 14 inches,12.5,15 to 25 pounds,20.0,12 to 15 years,13.5,4,5,5,3,2,3,3,5,5,5,5,5,3,4,3.0,5,4,2,2,3,4,4,2,2.0,3.0,3,4,3,3,3,5
186,Frengle,Mixed Breed Dogs,8 to 15 inches,11.5,18 to 30 pounds,24.0,10 to 15 years,12.5,3,4,4,4,3,2,2,5,5,5,4,4,3,3,1.0,5,4,4,3,3,3,4,3,3.0,2.0,3,4,4,3,4,5
187,German Longhaired Pointer,Sporting Dogs,23 to 28 inches,25.5,60 to 71 pounds,65.5,11 to 14 years,12.5,3,2,2,3,3,3,2,4,5,4,4,4,4,2,3.0,5,4,4,4,3,4,4,2,3.0,3.0,4,4,5,3,5,3
188,German Pinscher,Working Dogs,17 to 20 inches tall at the shoulder,18.5,25 to 45 pounds,35.0,12 to 14 years,13.0,3,3,3,4,3,3,4,3,5,3,2,2,3,3,1.0,5,4,3,3,4,4,5,3,5.0,3.0,4,5,5,3,5,5
189,German Shepherd Dog,Herding Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",5.5,75 to 95 pounds,85.0,10 to 14 years,12.0,3,3,2,5,2,4,3,4,5,5,2,4,4,5,1.0,5,4,2,4,4,5,5,5,4.0,4.0,2,5,5,5,5,5
190,German Shepherd Pit Bull,Mixed Breed Dogs,17 to 26 inches ,21.5,30 to 90 pounds ,60.0,10 to 12 years ,11.0,2,1,1,4,1,3,3,5,5,5,4,4,4,5,1.0,5,4,4,4,4,5,5,5,4.0,4.0,3,5,5,5,5,5
191,German Shepherd Rottweiler Mix,Mixed Breed Dogs,22 to 28 inches,25.0,75 to 115 pounds,95.0,9 to 13 years,11.0,3,3,4,3,3,4,2,4,4,4,3,3,4,5,3.0,3,3,4,4,3,3,4,3,3.0,3.0,2,4,4,3,4,4
